#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
243 42.308 61.538 61.538 55.128 6.410 0.000 0.000 0.000 0.000 0.000
244 53.846 46.154 46.154 48.718 2.564 0.000 1.562 0.000 0.521 0.521
245 61.538 76.923 46.154 61.538 8.882 0.000 0.000 0.000 0.000 0.000
246 53.846 61.538 26.923 47.436 10.494 0.000 1.562 0.000 0.521 0.521
247 46.154 42.308 34.615 41.026 3.392 0.000 1.562 0.000 0.521 0.521
248 50.000 46.154 50.000 48.718 1.282 0.000 1.562 1.562 1.042 0.521
249 61.538 53.846 46.154 53.846 4.441 0.000 0.000 0.000 0.000 0.000
250 53.846 50.000 42.308 48.718 3.392 0.000 0.000 0.000 0.000 0.000
251 65.385 50.000 57.692 57.692 4.441 0.000 0.000 0.000 0.000 0.000
252 69.231 42.308 30.769 47.436 11.395 0.000 3.125 0.000 1.042 1.042
253 57.692 61.538 42.308 53.846 5.875 0.000 0.000 0.000 0.000 0.000
254 50.000 53.846 38.462 47.436 4.623 0.000 3.125 0.000 1.042 1.042
255 57.692 34.615 34.615 42.308 7.692 0.000 0.000 0.000 0.000 0.000
256 61.538 46.154 30.769 46.154 8.882 0.000 0.000 0.000 0.000 0.000
257 61.538 42.308 42.308 48.718 6.410 0.000 0.000 0.000 0.000 0.000
258 50.000 30.769 30.769 37.179 6.410 0.000 0.000 0.000 0.000 0.000
259 50.000 23.077 26.923 33.333 8.407 0.000 0.000 0.000 0.000 0.000
260 53.846 34.615 42.308 43.590 5.588 0.000 0.000 0.000 0.000 0.000
261 57.692 34.615 53.846 48.718 7.138 0.000 0.000 0.000 0.000 0.000
262 53.846 38.462 26.923 39.744 7.798 0.000 0.000 0.000 0.000 0.000
263 57.692 46.154 42.308 48.718 4.623 0.000 0.000 0.000 0.000 0.000
264 73.077 53.846 23.077 50.000 14.561 0.000 0.000 0.000 0.000 0.000
265 38.462 53.846 61.538 51.282 6.784 0.000 0.000 0.000 0.000 0.000
266 30.769 65.385 42.308 46.154 10.176 0.000 0.000 0.000 0.000 0.000
267 42.308 61.538 34.615 46.154 8.006 0.000 0.000 0.000 0.000 0.000
268 57.692 50.000 38.462 48.718 5.588 0.000 0.000 0.000 0.000 0.000
269 61.538 53.846 46.154 53.846 4.441 0.000 0.000 0.000 0.000 0.000
270 69.231 50.000 38.462 52.564 8.974 0.000 0.000 0.000 0.000 0.000
271 65.385 42.308 69.231 58.974 8.407 0.000 0.000 1.562 0.521 0.521
272 76.923 42.308 38.462 52.564 12.230 0.000 0.000 0.000 0.000 0.000
273 69.231 34.615 61.538 55.128 10.494 0.000 0.000 0.000 0.000 0.000
274 76.923 57.692 46.154 60.256 8.974 0.000 0.000 0.000 0.000 0.000
275 76.923 57.692 57.692 64.103 6.410 0.000 0.000 0.000 0.000 0.000
276 57.692 53.846 61.538 57.692 2.221 0.000 0.000 0.000 0.000 0.000
277 38.462 26.923 61.538 42.308 10.176 0.000 0.000 0.000 0.000 0.000
278 46.154 38.462 76.923 53.846 11.750 0.000 0.000 0.000 0.000 0.000
279 53.846 50.000 65.385 56.410 4.623 0.000 0.000 0.000 0.000 0.000
280 50.000 61.538 92.308 67.949 12.627 0.000 0.000 0.000 0.000 0.000
281 46.154 50.000 53.846 50.000 2.221 0.000 0.000 0.000 0.000 0.000
282 53.846 42.308 53.846 50.000 3.846 0.000 0.000 0.000 0.000 0.000
283 69.231 50.000 46.154 55.128 7.138 0.000 0.000 0.000 0.000 0.000
284 61.538 42.308 50.000 51.282 5.588 0.000 0.000 0.000 0.000 0.000
285 57.692 42.308 50.000 50.000 4.441 0.000 0.000 0.000 0.000 0.000
286 61.538 57.692 50.000 56.410 3.392 0.000 0.000 1.562 0.521 0.521
287 46.154 42.308 69.231 52.564 8.407 0.000 0.000 3.125 1.042 1.042
288 53.846 42.308 50.000 48.718 3.392 0.000 0.000 1.562 0.521 0.521
289 61.538 53.846 38.462 51.282 6.784 0.000 0.000 0.000 0.000 0.000
