z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
35.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
36.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
37.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
38.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
39.500000	1.000000	1.010000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.001111	0.001111
40.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
41.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
42.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
43.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
44.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010000	1.000000	1.001111	0.001111
45.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
46.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
47.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
48.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
49.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
50.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.010000	1.000000	1.000000	1.001111	0.001111
51.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
52.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
53.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
54.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
55.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
56.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
57.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
58.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
59.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
60.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
61.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000
62.500000	1.000000	0.990000	0.990000	0.990000	1.000000	0.990000	1.000000	0.990000	1.000000	0.994444	0.001757
63.500000	0.990000	0.970000	0.960000	0.970000	0.980000	0.970000	0.990000	0.970000	0.980000	0.975556	0.003379
64.500000	0.960000	0.900000	0.910000	0.910000	0.930000	0.930000	0.940000	0.910000	0.920000	0.923333	0.006236
65.500000	0.870000	0.780000	0.820000	0.790000	0.810000	0.840000	0.850000	0.790000	0.790000	0.815556	0.010556
66.500000	0.700000	0.620000	0.650000	0.590000	0.630000	0.690000	0.680000	0.580000	0.610000	0.638889	0.014572
67.500000	0.490000	0.420000	0.450000	0.380000	0.410000	0.490000	0.480000	0.360000	0.400000	0.431111	0.016197
68.500000	0.280000	0.250000	0.250000	0.190000	0.230000	0.280000	0.270000	0.180000	0.230000	0.240000	0.012134
69.500000	0.130000	0.110000	0.110000	0.070000	0.100000	0.120000	0.130000	0.070000	0.120000	0.106667	0.007638
70.500000	0.040000	0.040000	0.040000	0.020000	0.030000	0.040000	0.050000	0.020000	0.050000	0.036667	0.003727
71.500000	0.010000	0.010000	0.010000	0.000000	0.010000	0.010000	0.020000	0.000000	0.010000	0.008889	0.002003
72.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.001111	0.001111
73.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
