#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
115	46.685856	46.685856	130.663732	68.111535	47.208529	47.208529	127.684938	69.645162	45.962545	45.962545	134.891986	66.017360
116	46.711754	46.711754	130.129379	68.187124	47.556027	47.556027	125.529480	70.674241	45.422258	45.422258	137.888339	64.474424
117	47.485729	47.485729	126.049451	70.465451	46.812347	46.812347	129.343284	68.481118	46.306491	46.306491	132.094311	67.009096
118	46.443080	46.443080	131.551328	67.404991	47.149887	47.149887	127.847095	69.472244	46.756029	46.756029	130.515777	68.316445
119	46.169944	46.169944	133.392168	66.614491	47.377843	47.377843	126.632480	70.145625	45.939255	45.939255	135.230943	65.950473
120	46.144255	46.144255	133.379914	66.540384	46.208807	46.208807	132.606433	66.726684	46.347803	46.347803	132.601885	67.128713
121	45.719808	45.719808	136.187689	65.321900	45.621519	45.621519	136.842573	65.041344	45.697174	45.697174	136.248626	65.257242
122	46.353937	46.353937	132.249082	67.146485	45.871733	45.871733	135.649031	65.756746	46.056001	46.056001	133.980507	66.286101
123	46.353907	46.353907	132.308515	67.146398	46.379877	46.379877	132.260280	67.221656	46.800696	46.800696	130.018448	68.447036
124	46.607914	46.607914	131.399393	67.884302	45.788348	45.788348	135.728433	65.517900	46.943848	46.943848	128.933483	68.866403
125	46.532370	46.532370	131.791331	67.664420	45.984957	45.984957	134.786760	66.081759	46.020053	46.020053	134.382718	66.182666
126	46.838401	46.838401	129.503370	68.557368	45.546105	45.546105	136.959556	64.826491	46.437747	46.437747	131.255690	67.389510
127	45.747668	45.747668	135.562025	65.401534	46.137893	46.137893	133.106519	66.522037	46.282254	46.282254	132.916052	66.938968
128	46.311349	46.311349	132.427056	67.023159	45.897205	45.897205	135.492586	65.829796	46.053850	46.053850	133.934173	66.279911
129	46.275748	46.275748	133.259664	66.920151	45.764311	45.764311	135.908720	65.449131	46.290805	46.290805	133.209940	66.963707
130	47.015720	47.015720	129.576663	69.077436	46.372210	46.372210	132.496808	67.199434	46.350118	46.350118	132.120673	67.135421
131	47.251834	47.251834	127.470533	69.772993	46.119147	46.119147	134.009073	66.467991	46.888198	46.888198	129.649635	68.703222
132	47.245971	47.245971	127.673316	69.755679	46.044025	46.044025	133.841186	66.251633	46.141149	46.141149	134.003520	66.531427
133	47.812916	47.812916	124.577907	71.439842	47.558579	47.558579	126.167398	70.681827	46.319796	46.319796	132.805728	67.047609
134	47.602493	47.602493	125.088920	70.812418	46.933886	46.933886	129.317464	68.837176	46.039598	46.039598	134.412912	66.238894
135	47.623468	47.623468	125.113221	70.874834	46.392032	46.392032	131.861104	67.256895	45.266506	45.266506	138.817132	64.033017
136	47.147497	47.147497	128.667359	69.465204	46.715284	46.715284	130.479336	68.197430	44.490530	44.490530	143.730757	61.856477
137	47.225988	47.225988	127.739660	69.696684	45.844173	45.844173	135.040911	65.677756	46.340978	46.340978	132.831835	67.108944
138	46.355680	46.355680	132.787543	67.151534	46.209111	46.209111	132.754526	66.727559	46.308951	46.308951	133.100435	67.016217
139	46.286752	46.286752	132.884152	66.951980	46.087421	46.087421	133.436286	66.376574	44.514023	44.514023	143.383969	61.921820
140	46.943176	46.943176	129.067256	68.864430	45.594594	45.594594	137.616055	64.964594	44.796091	44.796091	141.849575	62.709056
141	47.873032	47.873032	124.116106	71.619601	45.685050	45.685050	136.284866	65.222620	45.434372	45.434372	137.208017	64.508819
142	47.045408	47.045408	127.877501	69.164699	46.518503	46.518503	131.019694	67.624097	45.899620	45.899620	134.836467	65.836722
143	47.218524	47.218524	127.324482	69.674656	46.672861	46.672861	129.881357	68.073623	45.535867	45.535867	136.714768	64.797350
144	47.578469	47.578469	125.851327	70.740961	46.777055	46.777055	129.699272	68.377902	45.324127	45.324127	139.028681	64.196139
145	46.165302	46.165302	133.380912	66.601097	47.342142	47.342142	127.279535	70.039950	46.041614	46.041614	134.349053	66.244693
146	47.396391	47.396391	127.103136	70.200558	46.235195	46.235195	133.995814	66.802914	46.194361	46.194361	133.771365	66.684967
147	46.905139	46.905139	128.815167	68.752878	45.134308	45.134308	140.169404	63.659554	46.043736	46.043736	134.178040	66.250802
148	46.424621	46.424621	131.841058	67.351420	45.993215	45.993215	134.497918	66.105494	46.611580	46.611580	131.038690	67.894980
149	46.301495	46.301495	132.526696	66.994639	46.218609	46.218609	133.481313	66.754994	46.298169	46.298169	132.574117	66.985015
150	48.116402	48.116402	123.440557	72.349629	47.154851	47.154851	127.954686	69.486874	46.993174	46.993174	128.876126	69.011200
151	46.269374	46.269374	133.168678	66.901719	45.956311	45.956311	135.035253	65.999454	46.754188	46.754188	129.304241	68.311066
152	46.084383	46.084383	134.081262	66.367823	46.432468	46.432468	132.495070	67.374189	47.501175	47.501175	125.556549	70.511301
153	47.184675	47.184675	127.796078	69.574800	46.810359	46.810359	130.181425	68.475304	46.831192	46.831192	129.556188	68.536268
154	47.413807	47.413807	126.151681	70.252160	46.439391	46.439391	131.969349	67.394284	46.363765	46.363765	132.446264	67.174959
155	46.561097	46.561097	131.767905	67.747993	45.708038	45.708038	136.056869	65.288273	45.554003	45.554003	136.778522	64.848976
156	46.152172	46.152172	133.474254	66.563218	45.812494	45.812494	135.029011	65.587020	46.305769	46.305769	132.701709	67.007008
157	46.067025	46.067025	133.976410	66.317837	46.174933	46.174933	133.378909	66.628888	46.828199	46.828199	130.032723	68.527508
158	46.577502	46.577502	131.034756	67.795741	46.203032	46.203032	133.221907	66.710004	46.388971	46.388971	133.054126	67.248021
159	46.200755	46.200755	133.374016	66.703429	47.290078	47.290078	126.935982	69.885984	46.696545	46.696545	131.628687	68.142727
160	45.348818	45.348818	138.507509	64.266102	46.904764	46.904764	129.180503	68.751778	46.514490	46.514490	131.547828	67.612431
